sample	ali	prev	target	contig	reads
SRR3962773	bowtie2	spades	spades	NODE_13_length_28801_cov_3.656470	2001
SRR3962773	bowtie2	spades	spades	NODE_20_length_24730_cov_4.105802	1768
SRR3962773	bowtie2	spades	spades	NODE_65_length_19226_cov_2.845768	948
SRR3962773	bowtie2	spades	spades	NODE_93_length_17994_cov_3.175300	985
SRR3962773	bowtie2	spades	spades	NODE_101_length_17364_cov_2.773762	849
SRR3962773	bowtie2	spades	spades	NODE_142_length_15493_cov_3.700013	1106
SRR3962773	bowtie2	spades	spades	NODE_185_length_14424_cov_4.037696	1100
SRR3962773	bowtie2	spades	spades	NODE_213_length_13828_cov_3.198703	754
SRR3962773	bowtie2	spades	spades	NODE_231_length_13408_cov_3.372304	896
SRR3962773	bowtie2	spades	spades	NODE_256_length_12858_cov_2.873736	661
SRR3962773	bowtie2	spades	spades	NODE_279_length_12464_cov_3.432835	753
SRR3962773	bowtie2	spades	spades	NODE_339_length_11528_cov_2.805582	566
SRR3962773	bowtie2	spades	spades	NODE_354_length_11340_cov_2.387510	439
SRR3962773	bowtie2	spades	spades	NODE_420_length_10646_cov_2.520527	455
SRR3962773	bowtie2	spades	spades	NODE_464_length_10300_cov_3.419861	627
SRR3962773	bowtie2	spades	spades	NODE_476_length_10210_cov_3.166947	537
SRR3962773	bowtie2	spades	spades	NODE_485_length_10160_cov_2.996720	570
SRR3962773	bowtie2	spades	spades	NODE_578_length_9594_cov_3.136704	573
SRR3962773	bowtie2	spades	spades	NODE_819_length_8259_cov_3.456863	482
SRR3962773	bowtie2	spades	spades	NODE_852_length_8155_cov_2.928625	414
SRR3962773	bowtie2	spades	spades	NODE_873_length_8066_cov_2.808585	401
SRR3962773	bowtie2	spades	spades	NODE_946_length_7849_cov_2.600903	341
SRR3962773	bowtie2	spades	spades	NODE_1198_length_7051_cov_2.547325	302
SRR3962773	bowtie2	spades	spades	NODE_1297_length_6808_cov_2.586675	306
SRR3962773	bowtie2	spades	spades	NODE_1357_length_6634_cov_2.792196	306
SRR3962773	bowtie2	spades	spades	NODE_1485_length_6387_cov_3.806934	417
SRR3962773	bowtie2	spades	spades	NODE_1549_length_6256_cov_3.234205	317
SRR3962773	bowtie2	spades	spades	NODE_1563_length_6240_cov_3.305325	336
SRR3962773	bowtie2	spades	spades	NODE_1589_length_6190_cov_3.210310	386
SRR3962773	bowtie2	spades	spades	NODE_1635_length_6086_cov_2.622682	263
SRR3962773	bowtie2	spades	spades	NODE_1734_length_5933_cov_2.602674	266
SRR3962773	bowtie2	spades	spades	NODE_1771_length_5888_cov_2.830022	296
SRR3962773	bowtie2	spades	spades	NODE_1784_length_5873_cov_2.975580	306
SRR3962773	bowtie2	spades	spades	NODE_1794_length_5866_cov_2.470782	232
SRR3962773	bowtie2	spades	spades	NODE_1811_length_5838_cov_2.654295	261
SRR3962773	bowtie2	spades	spades	NODE_1974_length_5612_cov_2.406312	251
SRR3962773	bowtie2	spades	spades	NODE_2053_length_5519_cov_2.842620	266
SRR3962773	bowtie2	spades	spades	NODE_2097_length_5466_cov_2.671884	249
SRR3962773	bowtie2	spades	spades	NODE_2173_length_5377_cov_2.679424	240
SRR3962773	bowtie2	spades	spades	NODE_2193_length_5362_cov_3.198556	284
SRR3962773	bowtie2	spades	spades	NODE_2252_length_5299_cov_2.812115	267
SRR3962773	bowtie2	spades	spades	NODE_2307_length_5237_cov_2.135461	181
SRR3962773	bowtie2	spades	spades	NODE_2330_length_5211_cov_3.415884	313
SRR3962773	bowtie2	spades	spades	NODE_2409_length_5139_cov_2.698810	247
SRR3962773	bowtie2	spades	spades	NODE_2579_length_4938_cov_3.230213	283
SRR3962773	bowtie2	spades	spades	NODE_2786_length_4747_cov_2.388554	191
SRR3962773	bowtie2	spades	spades	NODE_2829_length_4709_cov_2.299783	189
SRR3962773	bowtie2	spades	spades	NODE_2944_length_4617_cov_2.502877	197
SRR3962773	bowtie2	spades	spades	NODE_2990_length_4584_cov_2.198662	175
