qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000427__GU811235_00024|rep_cluster_1149	NODE_126_length_31667_cov_0.206728	960	31667	1	960	23959	24918	962	86	90.644	100.0	100.0	minus	0.0	1275	replicon
CP017058_00081|rep_cluster_2238	NODE_157_length_29921_cov_0.159781	843	29921	17	759	8606	9349	748	104	84.89299999999999	88.0	88.0	plus	0.0	747	replicon
NC_020542_00048|MOBQ	NODE_126_length_31667_cov_0.206728	1071	31667	1	1066	11039	14236	1070	81	91.682	99.0	99.0	minus	0.0	1725	relaxase
CP010360_00062|MOBP	NODE_14356_length_4587_cov_0.327763	667	4587	15	664	268	2211	650	81	87.23100000000002	97.0	97.0	plus	0.0	1018	relaxase
NC_020542_00042|MPF_T	NODE_126_length_31667_cov_0.206728	520	31667	1	142	16141	16566	142	17	88.02799999999998	27.0	99.0	plus	2.179999999999999e-70	240	mate-pair-formation
NC_020542_00042|MPF_T	NODE_126_length_31667_cov_0.206728	520	31667	141	519	20461	21597	379	16	95.778	73.0	99.0	plus	0.0	719	mate-pair-formation
NC_017958_00033|MPF_G	NODE_63_length_40686_cov_0.178382	464	40686	1	464	16121	17515	465	84	81.72	100.0	100.0	minus	0.0	696	mate-pair-formation
NC_017958_00034|MPF_G	NODE_63_length_40686_cov_0.178382	316	40686	25	315	17532	18404	291	45	84.536	92.0	92.0	minus	1.189999999999999e-177	540	mate-pair-formation
NC_017958_00038|MPF_T	NODE_63_length_40686_cov_0.178382	963	40686	1	962	20520	23387	963	163	82.243	99.0	99.0	minus	0.0	1566	mate-pair-formation
NC_017958_00039|MPF_G	NODE_63_length_40686_cov_0.178382	149	40686	27	149	23390	23752	123	21	81.301	83.0	83.0	minus	8.25e-60	194	mate-pair-formation
NC_017958_00042|MPF_G	NODE_63_length_40686_cov_0.178382	230	40686	1	223	26106	26774	223	40	82.06299999999997	97.0	97.0	minus	2.7499999999999987e-120	371	mate-pair-formation
NC_017958_00056|MPF_F	NODE_63_length_40686_cov_0.178382	730	40686	1	692	30561	32636	692	61	91.185	95.0	95.0	minus	0.0	1221	mate-pair-formation
