qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000164__NC_022344_00310|IncP	NODE_1453_length_11543_cov_0.148986	858	11543	36	858	7149	7971	826	113	85.59299999999998	96.0	96.0	minus	0.0	861	replicon
CP017058_00081|rep_cluster_2238	NODE_1453_length_11543_cov_0.148986	843	11543	20	776	7207	7966	762	90	87.27	90.0	90.0	minus	0.0	863	replicon
000427__GU811235_00024|rep_cluster_1149	NODE_32203_length_2746_cov_0.106158	960	2746	1	960	475	1434	962	86	90.644	100.0	100.0	minus	0.0	1275	replicon
002232__NC_019376_00020|rep_cluster_754	NODE_80683_length_1768_cov_0.068304	1104	1768	1	1104	234	1337	1104	18	98.37	100.0	100.0	minus	0.0	1940	replicon
CP005087_00061|MOBQ	NODE_1399_length_11713_cov_0.105132	718	11713	1	718	249	2408	720	98	86.111	100.0	100.0	minus	0.0	1153	relaxase
CP010360_00062|MOBP	NODE_1453_length_11543_cov_0.148986	667	11543	15	664	2377	4320	650	81	87.23100000000002	97.0	97.0	minus	0.0	1018	relaxase
CP009357_00140|MOBH	NODE_465_length_19908_cov_0.231460	638	19908	1	638	14166	16079	638	29	95.455	100.0	100.0	minus	0.0	1252	relaxase
NC_020542_00042|MPF_T	NODE_1399_length_11713_cov_0.105132	520	11713	1	142	4313	4738	142	17	88.02799999999998	27.0	99.0	plus	1.4899999999999993e-70	240	mate-pair-formation
NC_020542_00042|MPF_T	NODE_1399_length_11713_cov_0.105132	520	11713	141	519	8633	9769	379	16	95.778	73.0	99.0	plus	0.0	719	mate-pair-formation
NC_019394_00097|MPF_I	NODE_247498_length_1018_cov_0.082699	236	1018	7	236	2	691	230	0	100.0	97.0	97.0	plus	1.999999999999999e-174	478	mate-pair-formation
NC_008739_00043|MPF_F	NODE_894_length_14676_cov_0.195102	682	14676	1	681	836	2878	681	122	82.085	99.0	99.0	plus	0.0	1155	mate-pair-formation
NC_008739_00035|MPF_G	NODE_894_length_14676_cov_0.195102	221	14676	1	220	5160	5819	220	43	80.455	99.0	99.0	plus	1.1099999999999993e-115	357	mate-pair-formation
NC_008739_00031|MPF_T	NODE_894_length_14676_cov_0.195102	1042	14676	1	1039	8617	11751	1047	194	80.516	99.0	99.0	plus	0.0	1722	mate-pair-formation
