sample	ali	prev	target	contig	reads
ERR599127	bowtie2	spades	spades	NODE_1_length_421288_cov_0.802412	193273
ERR599127	bowtie2	spades	spades	NODE_47_length_55887_cov_1.599233	50728
ERR599127	bowtie2	spades	spades	NODE_417_length_16729_cov_0.432051	4710
ERR599127	bowtie2	spades	spades	NODE_1859_length_8152_cov_0.146902	833
ERR599127	bowtie2	spades	spades	NODE_2285_length_7314_cov_0.116563	614
ERR599127	bowtie2	spades	spades	NODE_2331_length_7247_cov_1.884024	7434
ERR599127	bowtie2	spades	spades	NODE_4276_length_5249_cov_0.093786	333
ERR599127	bowtie2	spades	spades	NODE_7722_length_3801_cov_0.163965	339
ERR599127	bowtie2	spades	spades	NODE_8982_length_3501_cov_0.127278	254
ERR599127	bowtie2	spades	spades	NODE_12366_length_2928_cov_0.102156	216
ERR599127	bowtie2	spades	spades	NODE_12998_length_2851_cov_0.167878	365
ERR599127	bowtie2	spades	spades	NODE_15528_length_2581_cov_1.428687	2698
ERR599127	bowtie2	spades	spades	NODE_17887_length_2383_cov_0.091506	118
ERR599127	bowtie2	spades	spades	NODE_20505_length_2206_cov_0.263882	317
ERR599127	bowtie2	spades	spades	NODE_20637_length_2198_cov_0.088614	122
ERR599127	bowtie2	spades	spades	NODE_29006_length_1819_cov_0.084302	86
ERR599127	bowtie2	spades	spades	NODE_30423_length_1772_cov_0.092648	99
ERR599127	bowtie2	spades	spades	NODE_30452_length_1771_cov_0.104665	96
ERR599127	bowtie2	spades	spades	NODE_30555_length_1768_cov_0.065908	88
ERR599127	bowtie2	spades	spades	NODE_31477_length_1739_cov_0.169512	181
ERR599127	bowtie2	spades	spades	NODE_34198_length_1659_cov_0.067949	71
ERR599127	bowtie2	spades	spades	NODE_35545_length_1621_cov_0.176741	160
ERR599127	bowtie2	spades	spades	NODE_35740_length_1616_cov_0.123270	98
ERR599127	bowtie2	spades	spades	NODE_41602_length_1485_cov_0.113276	87
ERR599127	bowtie2	spades	spades	NODE_46326_length_1398_cov_0.082371	69
ERR599127	bowtie2	spades	spades	NODE_50873_length_1325_cov_0.592170	524
ERR599127	bowtie2	spades	spades	NODE_52095_length_1306_cov_0.167357	120
ERR599127	bowtie2	spades	spades	NODE_52867_length_1295_cov_0.229933	163
ERR599127	bowtie2	spades	spades	NODE_53759_length_1283_cov_0.081081	59
ERR599127	bowtie2	spades	spades	NODE_58588_length_1221_cov_0.054367	43
ERR599127	bowtie2	spades	spades	NODE_60108_length_1203_cov_0.106884	65
ERR599127	bowtie2	spades	spades	NODE_64204_length_1157_cov_0.145558	120
ERR599127	bowtie2	spades	spades	NODE_64846_length_1151_cov_0.094106	57
ERR599127	bowtie2	spades	spades	NODE_67413_length_1126_cov_0.074976	46
ERR599127	bowtie2	spades	spades	NODE_69499_length_1106_cov_0.087388	63
ERR599127	bowtie2	spades	spades	NODE_72187_length_1083_cov_0.075203	43
ERR599127	bowtie2	spades	spades	NODE_73132_length_1075_cov_0.132172	85
ERR599127	bowtie2	spades	spades	NODE_73544_length_1072_cov_0.056526	40
ERR599127	bowtie2	spades	spades	NODE_75392_length_1056_cov_0.118077	81
ERR599127	bowtie2	spades	spades	NODE_82076_length_1005_cov_0.084989	58
