qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_021817|MOB_unknown	NODE_94_length_78744_cov_0.361981	280	78744	1	280	57180	57459	280	5	98.214	100.0	100.0	plus	8.909999999999995e-140	490	oriT
001892__CP022421_00013|rep_cluster_517	NODE_104682_length_1854_cov_0.081481	1212	1854	1	1212	388	1599	1213	228	81.039	100.0	100.0	minus	0.0	965	replicon
000427__GU811235_00024|rep_cluster_1149	NODE_13366_length_5885_cov_0.135154	960	5885	1	960	1277	2236	962	86	90.644	100.0	100.0	plus	0.0	1275	replicon
001613__CP014803_00046|rep_cluster_305	NODE_145087_length_1544_cov_0.057439	1356	1544	233	1356	421	1544	1124	24	97.865	83.0	83.0	minus	0.0	1943	replicon
001501__CP012662_00089|rep_cluster_231	NODE_224951_length_1208_cov_0.141569	1407	1208	265	1407	65	1208	1144	12	98.864	81.0	81.0	minus	0.0	2039	replicon
002400__CP004397_00001|rep_cluster_914	NODE_5299_length_9696_cov_0.195895	1035	9696	1	1031	5830	6860	1031	77	92.532	99.0	99.0	minus	0.0	1478	replicon
001980__CP014798_00109|rep_cluster_579	NODE_9524_length_7075_cov_0.112959	1194	7075	1	1194	540	1733	1194	106	91.122	100.0	100.0	plus	0.0	1618	replicon
CP028477_00051|MOBP	NODE_3197_length_12704_cov_0.174851	638	12704	1	638	10344	12281	646	29	94.272	100.0	100.0	minus	0.0	1164	relaxase
NC_020542_00048|MOBQ	NODE_5872_length_9150_cov_0.101094	1071	9150	1	1001	6145	9147	1005	75	91.741	93.0	93.0	plus	0.0	1646	relaxase
NC_008388_00006|MOBQ	NODE_6040_length_9028_cov_0.181543	427	9028	1	427	731	2017	429	26	93.473	100.0	100.0	plus	0.0	725	relaxase
NC_008388_00006|MOBQ	NODE_6385_length_8750_cov_0.285054	427	8750	1	427	7021	8313	431	61	84.919	100.0	100.0	minus	0.0	650	relaxase
CP015441_00197|MOBF	NODE_687_length_27873_cov_0.291496	1008	27873	1	1008	20035	23058	1008	29	97.123	100.0	100.0	plus	0.0	1931	relaxase
CP041669_00041|MOBF	NODE_7521_length_8024_cov_0.124038	1978	8024	2	1965	275	6130	1964	241	87.118	99.0	99.0	minus	0.0	3466	relaxase
NC_008388_00006|MOBQ	NODE_894_length_24248_cov_0.226966	427	24248	59	427	1	1086	372	44	84.677	86.0	100.0	plus	1.6199999999999987e-171	529	relaxase
CP022750_00078|MOBP	NODE_93874_length_1972_cov_0.099840	368	1972	1	349	805	1851	349	17	95.129	95.0	95.0	minus	0.0	647	relaxase
NC_008042_00056|MPF_T	NODE_112327_length_1782_cov_0.086750	359	1782	1	351	123	1172	351	43	87.464	98.0	98.0	plus	6.449999999999996e-173	490	mate-pair-formation
NC_004574_00081|MPF_T	NODE_168420_length_1420_cov_0.065102	106	1420	15	106	279	554	92	2	97.826	87.0	87.0	minus	2.22e-58	182	mate-pair-formation
NC_004574_00087|MPF_T	NODE_250352_length_1139_cov_0.092308	231	1139	20	231	355	990	212	11	94.811	92.0	92.0	minus	2.5799999999999985e-146	409	mate-pair-formation
NC_008388_00003|MPF_T	NODE_5299_length_9696_cov_0.195895	550	9696	21	550	7660	9270	537	30	93.11	96.0	96.0	minus	0.0	1013	mate-pair-formation
NC_022050_00040|MPF_T	NODE_74882_length_2242_cov_0.082128	221	2242	7	202	2	589	196	34	82.65299999999998	89.0	89.0	minus	7.009999999999996e-91	278	mate-pair-formation
NC_008388_00003|MPF_T	NODE_894_length_24248_cov_0.226966	550	24248	21	549	21133	22809	559	48	86.04700000000003	96.0	96.0	minus	0.0	957	mate-pair-formation
NC_008388_00003|MPF_T	NODE_9040_length_7286_cov_0.202866	550	7286	1	549	594	2237	549	79	85.428	99.0	99.0	plus	0.0	923	mate-pair-formation
