sample	ali	prev	target	contig	reads
ERR599021	bowtie2	spades	spades	NODE_4_length_52489_cov_0.142546	7449
ERR599021	bowtie2	spades	spades	NODE_52_length_22264_cov_0.136070	2935
ERR599021	bowtie2	spades	spades	NODE_54_length_22201_cov_0.152656	3176
ERR599021	bowtie2	spades	spades	NODE_156_length_15308_cov_0.198895	3161
ERR599021	bowtie2	spades	spades	NODE_231_length_13214_cov_0.134274	1112
ERR599021	bowtie2	spades	spades	NODE_310_length_11836_cov_0.100281	1146
ERR599021	bowtie2	spades	spades	NODE_708_length_8561_cov_0.138265	1169
ERR599021	bowtie2	spades	spades	NODE_1037_length_7322_cov_0.095390	700
ERR599021	bowtie2	spades	spades	NODE_1447_length_6382_cov_0.171415	798
ERR599021	bowtie2	spades	spades	NODE_1881_length_5699_cov_0.083929	423
ERR599021	bowtie2	spades	spades	NODE_2222_length_5248_cov_0.123519	602
ERR599021	bowtie2	spades	spades	NODE_2861_length_4603_cov_0.111234	432
ERR599021	bowtie2	spades	spades	NODE_3105_length_4423_cov_0.109852	425
ERR599021	bowtie2	spades	spades	NODE_3382_length_4241_cov_0.097537	250
ERR599021	bowtie2	spades	spades	NODE_7559_length_2798_cov_0.107447	277
ERR599021	bowtie2	spades	spades	NODE_7717_length_2765_cov_0.240435	584
ERR599021	bowtie2	spades	spades	NODE_8363_length_2656_cov_0.075088	190
ERR599021	bowtie2	spades	spades	NODE_8619_length_2614_cov_0.092247	180
ERR599021	bowtie2	spades	spades	NODE_9345_length_2510_cov_0.066363	151
ERR599021	bowtie2	spades	spades	NODE_9709_length_2461_cov_0.124894	191
ERR599021	bowtie2	spades	spades	NODE_10400_length_2376_cov_0.066755	144
ERR599021	bowtie2	spades	spades	NODE_10805_length_2329_cov_0.084753	152
ERR599021	bowtie2	spades	spades	NODE_10911_length_2318_cov_0.060838	121
ERR599021	bowtie2	spades	spades	NODE_10916_length_2317_cov_0.128043	187
ERR599021	bowtie2	spades	spades	NODE_11099_length_2296_cov_0.055530	113
ERR599021	bowtie2	spades	spades	NODE_11335_length_2270_cov_0.096269	135
ERR599021	bowtie2	spades	spades	NODE_11487_length_2254_cov_0.080278	122
ERR599021	bowtie2	spades	spades	NODE_11893_length_2211_cov_0.130208	163
ERR599021	bowtie2	spades	spades	NODE_12226_length_2180_cov_0.074964	122
ERR599021	bowtie2	spades	spades	NODE_14186_length_2013_cov_0.068966	119
ERR599021	bowtie2	spades	spades	NODE_14416_length_1996_cov_0.052715	65
ERR599021	bowtie2	spades	spades	NODE_18709_length_1738_cov_0.222087	273
ERR599021	bowtie2	spades	spades	NODE_20352_length_1666_cov_0.059349	58
ERR599021	bowtie2	spades	spades	NODE_20374_length_1665_cov_0.075990	89
ERR599021	bowtie2	spades	spades	NODE_22103_length_1592_cov_0.073677	75
ERR599021	bowtie2	spades	spades	NODE_22748_length_1569_cov_0.055102	73
ERR599021	bowtie2	spades	spades	NODE_22992_length_1560_cov_0.058864	84
ERR599021	bowtie2	spades	spades	NODE_23043_length_1558_cov_0.090473	96
ERR599021	bowtie2	spades	spades	NODE_23642_length_1536_cov_0.062630	80
ERR599021	bowtie2	spades	spades	NODE_24109_length_1521_cov_0.066104	79
ERR599021	bowtie2	spades	spades	NODE_25620_length_1475_cov_0.077762	78
ERR599021	bowtie2	spades	spades	NODE_25867_length_1467_cov_0.095029	130
ERR599021	bowtie2	spades	spades	NODE_26652_length_1446_cov_0.072754	75
ERR599021	bowtie2	spades	spades	NODE_27122_length_1433_cov_0.057721	63
ERR599021	bowtie2	spades	spades	NODE_30101_length_1357_cov_0.061208	63
ERR599021	bowtie2	spades	spades	NODE_31632_length_1323_cov_0.070261	76
ERR599021	bowtie2	spades	spades	NODE_31677_length_1322_cov_0.069501	66
ERR599021	bowtie2	spades	spades	NODE_31779_length_1320_cov_0.056511	64
ERR599021	bowtie2	spades	spades	NODE_34453_length_1266_cov_0.083976	77
ERR599021	bowtie2	spades	spades	NODE_35168_length_1252_cov_0.146574	137
ERR599021	bowtie2	spades	spades	NODE_38257_length_1199_cov_0.054545	56
ERR599021	bowtie2	spades	spades	NODE_38296_length_1198_cov_0.076433	55
ERR599021	bowtie2	spades	spades	NODE_39155_length_1184_cov_0.077419	75
ERR599021	bowtie2	spades	spades	NODE_41784_length_1144_cov_0.093780	62
ERR599021	bowtie2	spades	spades	NODE_46625_length_1080_cov_0.055046	58
ERR599021	bowtie2	spades	spades	NODE_47022_length_1075_cov_0.069672	76
ERR599021	bowtie2	spades	spades	NODE_47072_length_1075_cov_0.031762	26
ERR599021	bowtie2	spades	spades	NODE_47811_length_1065_cov_0.070393	46
ERR599021	bowtie2	spades	spades	NODE_48746_length_1054_cov_0.070157	56
ERR599021	bowtie2	spades	spades	NODE_49125_length_1050_cov_0.052576	43
ERR599021	bowtie2	spades	spades	NODE_50390_length_1036_cov_0.073639	53
ERR599021	bowtie2	spades	spades	NODE_50902_length_1031_cov_0.065451	49
ERR599021	bowtie2	spades	spades	NODE_51940_length_1021_cov_0.069414	46
ERR599021	bowtie2	spades	spades	NODE_52054_length_1020_cov_0.057546	44
