qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000701__NC_021718_00105|rep_cluster_1371	NODE_16402_length_1447_cov_1.255935	894	1447	1	806	185	990	806	15	98.139	90.0	90.0	minus	0.0	1406	replicon
002059__CP015092_00011|rep_cluster_613	NODE_1772_length_4121_cov_2.512680	1182	4121	1	1182	869	2050	1184	167	85.557	100.0	100.0	minus	0.0	1236	replicon
002213__CP005090_00001|rep_cluster_736	NODE_2309_length_3610_cov_2.549131	1113	3610	1	1113	1282	2394	1115	65	93.812	100.0	100.0	plus	0.0	1674	replicon
000637__CP004038_00178|rep_cluster_1319	NODE_2539_length_3453_cov_2.872987	912	3453	85	912	2323	3150	828	114	86.23200000000001	91.0	91.0	minus	0.0	898	replicon
001983__CP021432_00100|rep_cluster_579	NODE_3498_length_2945_cov_2.122980	1194	2945	1	1194	602	1795	1194	1	99.916	100.0	100.0	minus	0.0	2200	replicon
001534__NC_008739_00056|rep_cluster_255	NODE_831_length_6064_cov_2.767645	1389	6064	1	1389	2604	3992	1389	11	99.208	100.0	100.0	minus	0.0	2505	replicon
CP042821_00055|MOBP	NODE_1304_length_4794_cov_2.226198	747	4794	1	747	1776	4016	747	59	92.102	100.0	100.0	minus	0.0	1330	relaxase
CP025812_00016|MOBP	NODE_138_length_14565_cov_2.434398	642	14565	1	642	11790	13715	642	22	96.573	100.0	100.0	plus	0.0	1097	relaxase
CP021432_00049|MOBP	NODE_243_length_11467_cov_2.277270	653	11467	1	653	1436	3394	653	20	96.937	100.0	100.0	plus	0.0	1298	relaxase
NC_008739_00059|MOBH	NODE_84_length_17462_cov_3.606808	624	17462	109	624	15926	17461	516	16	96.124	83.0	83.0	minus	0.0	986	relaxase
NC_023148_00034|MPF_T	NODE_1304_length_4794_cov_2.226198	667	4794	1	541	142	1764	541	52	90.388	81.0	81.0	minus	0.0	976	mate-pair-formation
NC_004574_00081|MPF_T	NODE_5197_length_2455_cov_1.414261	106	2455	15	106	1741	2016	92	3	96.739	87.0	87.0	minus	2.52e-56	181	mate-pair-formation
