qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
002055__CP014801_00066|rep_cluster_610	NODE_12294_length_2146_cov_1.472399	1185	2146	1	1185	16	1200	1185	4	99.662	100.0	100.0	plus	0.0	2167	replicon
000701__NC_021718_00105|rep_cluster_1371	NODE_13_length_28801_cov_3.656470	894	28801	1	894	26960	27853	894	6	99.329	100.0	100.0	minus	0.0	1618	replicon
001983__CP021432_00100|rep_cluster_579	NODE_1811_length_5838_cov_2.654295	1194	5838	1	1194	861	2054	1194	0	100.0	100.0	100.0	minus	0.0	2206	replicon
002059__CP015092_00011|rep_cluster_613	NODE_279_length_12464_cov_3.432835	1182	12464	1	1182	2377	3558	1184	168	85.473	100.0	100.0	plus	0.0	1230	replicon
001717__CP019309|rep_cluster_392	NODE_2944_length_4617_cov_2.502877	1296	4617	91	1296	118	1323	1211	186	83.815	93.0	93.0	minus	0.0	1142	replicon
001954__CP015042_00026|rep_cluster_558	NODE_464_length_10300_cov_3.419861	1200	10300	1	1198	4070	5267	1198	10	99.165	99.0	99.0	minus	0.0	2158	replicon
001965__CP012664_00035|rep_cluster_565	NODE_9659_length_2458_cov_1.238237	1200	2458	222	1185	1422	2373	972	156	81.07	80.0	80.0	minus	0.0	750	replicon
CP021432_00049|MOBP	NODE_256_length_12858_cov_2.873736	653	12858	1	653	9427	11385	653	20	96.937	100.0	100.0	minus	0.0	1298	relaxase
CP025812_00016|MOBP	NODE_65_length_19226_cov_2.845768	642	19226	1	642	7534	9459	642	21	96.729	100.0	100.0	plus	0.0	1095	relaxase
CP042821_00055|MOBP	NODE_852_length_8155_cov_2.928625	747	8155	1	747	4257	6497	747	59	92.102	100.0	100.0	minus	0.0	1326	relaxase
NC_019394_00096|MPF_I	NODE_13_length_28801_cov_3.656470	218	28801	1	218	13062	13715	218	12	94.495	100.0	100.0	plus	3.959999999999998e-138	422	mate-pair-formation
NC_019394_00097|MPF_I	NODE_13_length_28801_cov_3.656470	236	28801	1	236	13715	14422	236	2	99.153	100.0	100.0	plus	5.799999999999997e-160	485	mate-pair-formation
NC_019394_00098|MPF_I	NODE_13_length_28801_cov_3.656470	310	28801	1	310	14428	15357	310	3	99.032	100.0	100.0	plus	0.0	632	mate-pair-formation
NC_014007_00174|MPF_T	NODE_1485_length_6387_cov_3.806934	667	6387	1	667	4253	6235	667	119	81.259	100.0	100.0	plus	0.0	983	mate-pair-formation
NC_004574_00081|MPF_T	NODE_1734_length_5933_cov_2.602674	106	5933	15	106	887	1162	92	4	95.652	87.0	87.0	minus	8.92e-55	177	mate-pair-formation
NC_008042_00056|MPF_T	NODE_20088_length_1623_cov_1.748688	359	1623	1	359	147	1223	362	47	85.359	100.0	100.0	plus	3.169999999999997e-176	496	mate-pair-formation
NC_004574_00081|MPF_T	NODE_22708_length_1514_cov_1.543463	106	1514	15	106	905	1180	92	2	97.826	87.0	87.0	minus	1.52e-58	182	mate-pair-formation
NC_004574_00081|MPF_T	NODE_23250_length_1494_cov_1.331183	106	1494	15	106	1202	1477	92	12	86.95700000000002	87.0	87.0	plus	5.049999999999999e-48	155	mate-pair-formation
NC_009955_00053|MPF_T	NODE_24128_length_1463_cov_2.524194	218	1463	2	218	635	1285	217	5	97.696	99.0	99.0	minus	1.0599999999999993e-138	392	mate-pair-formation
NC_004574_00087|MPF_T	NODE_26046_length_1405_cov_1.111792	231	1405	9	231	581	1249	223	36	83.85700000000001	97.0	97.0	plus	2.5099999999999987e-134	381	mate-pair-formation
NC_004574_00087|MPF_T	NODE_30108_length_1297_cov_2.067613	231	1297	1	231	289	981	231	23	90.04299999999998	100.0	100.0	plus	6.929999999999995e-147	412	mate-pair-formation
NC_019394_00086|MPF_I	NODE_485_length_10160_cov_2.996720	799	10160	1	799	345	2741	799	46	94.243	100.0	100.0	minus	0.0	1383	mate-pair-formation
NC_019394_00072|MPF_I	NODE_578_length_9594_cov_3.136704	283	9594	1	283	2757	3605	283	7	97.527	100.0	100.0	plus	0.0	563	mate-pair-formation
NC_004574_00081|MPF_T	NODE_7985_length_2736_cov_1.483504	106	2736	15	106	1661	1936	92	6	93.478	87.0	87.0	minus	1.04e-54	177	mate-pair-formation
NC_023148_00034|MPF_T	NODE_852_length_8155_cov_2.928625	667	8155	1	627	2368	4245	627	110	82.29700000000003	94.0	94.0	minus	0.0	999	mate-pair-formation
