sample	ali	prev	target	contig	reads
ERR599005	bowtie2	spades	spades	NODE_19_length_114705_cov_1.690557	133228
ERR599005	bowtie2	spades	spades	NODE_54_length_78172_cov_0.343755	17563
ERR599005	bowtie2	spades	spades	NODE_335_length_23368_cov_0.484249	7653
ERR599005	bowtie2	spades	spades	NODE_614_length_14181_cov_0.129598	1406
ERR599005	bowtie2	spades	spades	NODE_734_length_12312_cov_0.184803	2397
ERR599005	bowtie2	spades	spades	NODE_747_length_12127_cov_0.184985	1749
ERR599005	bowtie2	spades	spades	NODE_813_length_11337_cov_0.174497	1313
ERR599005	bowtie2	spades	spades	NODE_1081_length_9369_cov_0.236030	1471
ERR599005	bowtie2	spades	spades	NODE_1174_length_8920_cov_0.216189	1353
ERR599005	bowtie2	spades	spades	NODE_1191_length_8847_cov_0.180613	1007
ERR599005	bowtie2	spades	spades	NODE_1401_length_8055_cov_0.372675	1853
ERR599005	bowtie2	spades	spades	NODE_1435_length_7923_cov_0.281697	1516
ERR599005	bowtie2	spades	spades	NODE_1509_length_7716_cov_0.183668	1032
ERR599005	bowtie2	spades	spades	NODE_1710_length_7222_cov_0.148112	827
ERR599005	bowtie2	spades	spades	NODE_1965_length_6717_cov_0.208824	878
ERR599005	bowtie2	spades	spades	NODE_3815_length_4914_cov_0.221391	750
ERR599005	bowtie2	spades	spades	NODE_5102_length_4342_cov_0.200330	623
ERR599005	bowtie2	spades	spades	NODE_5887_length_4085_cov_0.319619	762
ERR599005	bowtie2	spades	spades	NODE_6445_length_3928_cov_0.194307	496
ERR599005	bowtie2	spades	spades	NODE_6648_length_3876_cov_0.096638	241
ERR599005	bowtie2	spades	spades	NODE_8185_length_3553_cov_0.173133	407
ERR599005	bowtie2	spades	spades	NODE_8253_length_3542_cov_0.179495	391
ERR599005	bowtie2	spades	spades	NODE_9291_length_3357_cov_0.226212	518
ERR599005	bowtie2	spades	spades	NODE_9388_length_3343_cov_0.082306	197
ERR599005	bowtie2	spades	spades	NODE_10520_length_3176_cov_0.418265	877
ERR599005	bowtie2	spades	spades	NODE_10702_length_3153_cov_0.175180	377
ERR599005	bowtie2	spades	spades	NODE_11326_length_3073_cov_0.151311	284
ERR599005	bowtie2	spades	spades	NODE_12333_length_2962_cov_0.215508	379
ERR599005	bowtie2	spades	spades	NODE_12878_length_2905_cov_0.064861	166
ERR599005	bowtie2	spades	spades	NODE_14392_length_2756_cov_0.184419	342
ERR599005	bowtie2	spades	spades	NODE_16206_length_2606_cov_0.222976	396
ERR599005	bowtie2	spades	spades	NODE_20760_length_2328_cov_0.231943	358
ERR599005	bowtie2	spades	spades	NODE_22411_length_2251_cov_0.088755	119
ERR599005	bowtie2	spades	spades	NODE_23940_length_2181_cov_0.163785	247
ERR599005	bowtie2	spades	spades	NODE_28594_length_2006_cov_0.049292	116
ERR599005	bowtie2	spades	spades	NODE_29873_length_1963_cov_0.099249	136
ERR599005	bowtie2	spades	spades	NODE_31232_length_1921_cov_0.109221	137
ERR599005	bowtie2	spades	spades	NODE_40424_length_1699_cov_0.033125	51
ERR599005	bowtie2	spades	spades	NODE_40477_length_1697_cov_0.106383	99
ERR599005	bowtie2	spades	spades	NODE_44914_length_1613_cov_0.041612	90
ERR599005	bowtie2	spades	spades	NODE_46178_length_1591_cov_0.160858	169
ERR599005	bowtie2	spades	spades	NODE_46433_length_1587_cov_0.207661	220
ERR599005	bowtie2	spades	spades	NODE_47669_length_1567_cov_0.165531	158
ERR599005	bowtie2	spades	spades	NODE_49152_length_1545_cov_0.116183	95
ERR599005	bowtie2	spades	spades	NODE_51457_length_1511_cov_0.072946	62
ERR599005	bowtie2	spades	spades	NODE_55064_length_1462_cov_0.079237	76
ERR599005	bowtie2	spades	spades	NODE_56881_length_1439_cov_0.067910	79
ERR599005	bowtie2	spades	spades	NODE_63809_length_1359_cov_0.177778	157
ERR599005	bowtie2	spades	spades	NODE_68043_length_1317_cov_0.073071	74
ERR599005	bowtie2	spades	spades	NODE_71763_length_1283_cov_0.114020	86
ERR599005	bowtie2	spades	spades	NODE_73580_length_1268_cov_0.078700	52
ERR599005	bowtie2	spades	spades	NODE_74692_length_1258_cov_0.205349	156
ERR599005	bowtie2	spades	spades	NODE_75413_length_1252_cov_0.090199	66
ERR599005	bowtie2	spades	spades	NODE_76110_length_1246_cov_0.108108	81
ERR599005	bowtie2	spades	spades	NODE_79601_length_1219_cov_0.020536	34
ERR599005	bowtie2	spades	spades	NODE_80707_length_1210_cov_0.086409	77
ERR599005	bowtie2	spades	spades	NODE_81189_length_1207_cov_0.016245	26
ERR599005	bowtie2	spades	spades	NODE_85750_length_1173_cov_0.096834	113
ERR599005	bowtie2	spades	spades	NODE_86163_length_1170_cov_0.091503	63
ERR599005	bowtie2	spades	spades	NODE_89310_length_1149_cov_0.085714	53
ERR599005	bowtie2	spades	spades	NODE_92146_length_1132_cov_0.047435	42
ERR599005	bowtie2	spades	spades	NODE_92753_length_1128_cov_0.041788	36
ERR599005	bowtie2	spades	spades	NODE_93932_length_1120_cov_0.106758	67
ERR599005	bowtie2	spades	spades	NODE_94921_length_1114_cov_0.295567	206
ERR599005	bowtie2	spades	spades	NODE_96251_length_1106_cov_0.110228	81
ERR599005	bowtie2	spades	spades	NODE_98055_length_1096_cov_0.070211	42
ERR599005	bowtie2	spades	spades	NODE_98323_length_1094_cov_0.190955	144
ERR599005	bowtie2	spades	spades	NODE_100148_length_1084_cov_0.109645	65
ERR599005	bowtie2	spades	spades	NODE_109379_length_1037_cov_0.097015	85
