sample	ali	prev	target	contig	reads
SRR3965586	bowtie2	spades	spades	NODE_3_length_83122_cov_6.615336	11901
SRR3965586	bowtie2	spades	spades	NODE_109_length_13668_cov_2.641020	773
SRR3965586	bowtie2	spades	spades	NODE_361_length_8682_cov_3.566469	666
SRR3965586	bowtie2	spades	spades	NODE_365_length_8647_cov_2.991694	552
SRR3965586	bowtie2	spades	spades	NODE_410_length_8342_cov_4.533544	843
SRR3965586	bowtie2	spades	spades	NODE_479_length_7751_cov_13.446027	2178
SRR3965586	bowtie2	spades	spades	NODE_551_length_7297_cov_2.458877	404
SRR3965586	bowtie2	spades	spades	NODE_579_length_7099_cov_5.712571	877
SRR3965586	bowtie2	spades	spades	NODE_597_length_7003_cov_6.120800	949
SRR3965586	bowtie2	spades	spades	NODE_683_length_6611_cov_1.773342	261
SRR3965586	bowtie2	spades	spades	NODE_771_length_6226_cov_3.716827	487
SRR3965586	bowtie2	spades	spades	NODE_831_length_5997_cov_3.709732	469
SRR3965586	bowtie2	spades	spades	NODE_1119_length_5246_cov_1.857004	206
SRR3965586	bowtie2	spades	spades	NODE_1122_length_5234_cov_2.009153	222
SRR3965586	bowtie2	spades	spades	NODE_1197_length_5070_cov_2.045263	240
SRR3965586	bowtie2	spades	spades	NODE_1341_length_4843_cov_4.044688	423
SRR3965586	bowtie2	spades	spades	NODE_1400_length_4756_cov_30.242860	3000
SRR3965586	bowtie2	spades	spades	NODE_1527_length_4581_cov_2.700357	268
SRR3965586	bowtie2	spades	spades	NODE_1600_length_4493_cov_8.158170	760
SRR3965586	bowtie2	spades	spades	NODE_1642_length_4432_cov_2.128779	198
SRR3965586	bowtie2	spades	spades	NODE_1700_length_4364_cov_1.840094	176
SRR3965586	bowtie2	spades	spades	NODE_1754_length_4298_cov_1.564896	139
SRR3965586	bowtie2	spades	spades	NODE_1767_length_4284_cov_2.488889	232
SRR3965586	bowtie2	spades	spades	NODE_1825_length_4216_cov_2.467088	221
SRR3965586	bowtie2	spades	spades	NODE_1848_length_4189_cov_1.913936	166
SRR3965586	bowtie2	spades	spades	NODE_1887_length_4153_cov_2.891465	270
SRR3965586	bowtie2	spades	spades	NODE_1943_length_4103_cov_1.838911	166
SRR3965586	bowtie2	spades	spades	NODE_1978_length_4074_cov_2.120503	181
SRR3965586	bowtie2	spades	spades	NODE_2150_length_3923_cov_5.739540	492
SRR3965586	bowtie2	spades	spades	NODE_2265_length_3841_cov_3.241849	244
SRR3965586	bowtie2	spades	spades	NODE_2311_length_3801_cov_1.992437	166
SRR3965586	bowtie2	spades	spades	NODE_2326_length_3790_cov_2.740450	221
SRR3965586	bowtie2	spades	spades	NODE_2740_length_3501_cov_3.784539	278
SRR3965586	bowtie2	spades	spades	NODE_2769_length_3480_cov_4.086069	294
SRR3965586	bowtie2	spades	spades	NODE_2885_length_3421_cov_1.751656	130
SRR3965586	bowtie2	spades	spades	NODE_2931_length_3402_cov_2.168937	152
SRR3965586	bowtie2	spades	spades	NODE_2965_length_3383_cov_1.921133	135
SRR3965586	bowtie2	spades	spades	NODE_2990_length_3370_cov_1.935188	139
SRR3965586	bowtie2	spades	spades	NODE_3009_length_3360_cov_1.916897	141
SRR3965586	bowtie2	spades	spades	NODE_3024_length_3357_cov_1.684776	120
SRR3965586	bowtie2	spades	spades	NODE_3038_length_3347_cov_2.817426	204
