qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_021817|MOB_unknown	NODE_29735_length_1189_cov_1.744954	280	1189	1	280	896	1175	280	12	95.714	100.0	100.0	plus	1.979999999999999e-128	451	oriT
001954__CP015042_00026|rep_cluster_558	NODE_12_length_104835_cov_16.562004	1200	104835	1	1200	61976	63175	1200	12	99.0	100.0	100.0	minus	0.0	2150	replicon
001717__CP019309|rep_cluster_392	NODE_14_length_91626_cov_16.897429	1296	91626	97	1296	25234	26430	1208	201	81.788	93.0	93.0	minus	0.0	994	replicon
002055__CP014801_00066|rep_cluster_610	NODE_14_length_91626_cov_16.897429	1185	91626	1	1185	27739	28923	1185	149	87.426	100.0	100.0	minus	0.0	1363	replicon
001983__CP021432_00100|rep_cluster_579	NODE_18_length_57280_cov_17.945174	1194	57280	1	1194	43526	44719	1194	0	100.0	100.0	100.0	minus	0.0	2206	replicon
002262__CP020476_00032|rep_cluster_784	NODE_64_length_23341_cov_42.342354	1086	23341	1	1086	8007	9092	1086	2	99.816	100.0	100.0	minus	0.0	1995	replicon
CP010723_00015|MOBQ	NODE_1016_length_6913_cov_67.649545	340	6913	1	340	3304	4323	340	13	96.176	100.0	100.0	plus	0.0	606	relaxase
CP032092_00035|MOBH	NODE_1241_length_6309_cov_1.972303	747	6309	1	747	72	2312	747	16	97.858	100.0	100.0	minus	0.0	1400	relaxase
NC_023148_00033|MOBP	NODE_12_length_104835_cov_16.562004	777	104835	1	777	25422	27752	777	60	92.278	100.0	100.0	minus	0.0	1439	relaxase
CP028477_00051|MOBP	NODE_14_length_91626_cov_16.897429	638	91626	1	638	11623	13545	642	31	94.393	100.0	100.0	minus	0.0	1156	relaxase
CP045397_00001|MOBQ	NODE_1599_length_5638_cov_63.081242	401	5638	1	401	3497	4705	403	21	94.293	100.0	100.0	plus	0.0	650	relaxase
CP021432_00049|MOBP	NODE_20_length_47493_cov_18.943600	653	47493	1	653	8047	10005	653	20	96.937	100.0	100.0	plus	0.0	1298	relaxase
NC_008388_00006|MOBQ	NODE_64_length_23341_cov_42.342354	427	23341	1	427	12493	13776	428	36	91.355	100.0	100.0	plus	0.0	709	relaxase
NC_009955_00049|MPF_T	NODE_12_length_104835_cov_16.562004	791	104835	1	791	3957	6329	791	29	96.334	100.0	100.0	plus	0.0	1520	mate-pair-formation
NC_009955_00053|MPF_T	NODE_12_length_104835_cov_16.562004	218	104835	2	218	8564	9214	217	4	98.157	99.0	99.0	plus	8.789999999999995e-129	395	mate-pair-formation
NC_004574_00087|MPF_T	NODE_12_length_104835_cov_16.562004	231	104835	1	231	9220	9912	231	20	91.342	100.0	100.0	plus	5.289999999999997e-142	434	mate-pair-formation
NC_008042_00056|MPF_T	NODE_12_length_104835_cov_16.562004	359	104835	1	351	12875	13927	351	49	86.04	98.0	98.0	plus	5.5999999999999975e-161	494	mate-pair-formation
NC_023148_00034|MPF_T	NODE_12_length_104835_cov_16.562004	667	104835	1	645	23476	25410	645	21	96.744	97.0	97.0	minus	0.0	1196	mate-pair-formation
NC_019394_00098|MPF_I	NODE_14790_length_1721_cov_2.565968	310	1721	1	310	165	1094	310	3	99.032	100.0	100.0	plus	0.0	632	mate-pair-formation
NC_019394_00072|MPF_I	NODE_31429_length_1154_cov_1.878673	283	1154	1	283	94	942	283	0	100.0	100.0	100.0	minus	0.0	577	mate-pair-formation
NC_019394_00096|MPF_I	NODE_5248_length_2998_cov_2.069679	218	2998	1	218	1698	2351	218	12	94.495	100.0	100.0	plus	3.5999999999999983e-144	422	mate-pair-formation
NC_019394_00097|MPF_I	NODE_5248_length_2998_cov_2.069679	236	2998	1	216	2351	2998	216	0	100.0	92.0	92.0	plus	1.2599999999999991e-154	450	mate-pair-formation
NC_008388_00003|MPF_T	NODE_64_length_23341_cov_42.342354	550	23341	1	549	9934	11598	556	48	89.928	99.0	99.0	minus	0.0	978	mate-pair-formation
NC_019394_00086|MPF_I	NODE_798_length_7757_cov_1.766258	799	7757	1	799	199	2595	799	1	99.875	100.0	100.0	plus	0.0	1463	mate-pair-formation
