qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_021817|MOB_unknown	NODE_4681_length_6494_cov_0.306333	280	6494	4	280	3458	3734	277	11	96.029	99.0	99.0	minus	7.929999999999996e-128	451	oriT
002084__CP004394_00001|rep_cluster_634	NODE_132844_length_1349_cov_0.051200	1176	1349	106	1148	304	1346	1047	176	82.426	89.0	89.0	minus	0.0	907	replicon
002232__NC_019376_00020|rep_cluster_754	NODE_14541_length_3937_cov_0.227462	1104	3937	1	1104	1231	2334	1104	0	100.0	100.0	100.0	minus	0.0	2039	replicon
000164__NC_022344_00310|IncP	NODE_1529_length_10622_cov_0.489499	858	10622	36	858	2668	3487	825	60	91.879	96.0	96.0	plus	0.0	1146	replicon
002032__CP010870_00044|rep_cluster_599	NODE_26194_length_3003_cov_0.124311	1188	3003	1	1188	353	1540	1188	1	99.916	100.0	100.0	minus	0.0	2189	replicon
001669__CP014276|rep_cluster_354	NODE_35721_length_2598_cov_0.095638	1317	2598	1	1317	1087	2403	1319	157	87.794	100.0	100.0	minus	0.0	1541	replicon
001892__CP022421_00013|rep_cluster_517	NODE_40531_length_2445_cov_0.061381	1212	2445	80	1212	1313	2445	1133	66	94.175	93.0	93.0	minus	0.0	1727	replicon
002214__JN180627_00016|rep_cluster_736	NODE_42_length_68158_cov_0.635346	1095	68158	1	1091	25835	26925	1091	82	92.484	99.0	99.0	minus	0.0	1561	replicon
000427__GU811235_00024|rep_cluster_1149	NODE_42_length_68158_cov_0.635346	960	68158	1	960	56781	57740	962	86	90.644	100.0	100.0	minus	0.0	1275	replicon
000637__CP004038_00178|rep_cluster_1319	NODE_9033_length_4851_cov_0.153409	912	4851	1	903	1660	2562	904	77	91.261	99.0	99.0	minus	0.0	1230	replicon
001440__CP020446|rep_cluster_2002	NODE_93238_length_1614_cov_0.278548	306	1614	1	287	790	1073	291	45	80.756	94.0	94.0	minus	3.47e-57	217	replicon
AP012223_00131|MOBP	NODE_11490_length_4382_cov_0.102265	373	4382	1	340	12	1031	340	4	98.824	91.0	91.0	minus	0.0	646	relaxase
CP015441_00197|MOBF	NODE_142_length_36614_cov_0.398685	1008	36614	194	1008	30220	32664	815	27	96.687	81.0	92.0	plus	0.0	1551	relaxase
CP010360_00062|MOBP	NODE_1529_length_10622_cov_0.489499	667	10622	15	664	6280	8223	650	81	87.23100000000002	97.0	97.0	plus	0.0	1018	relaxase
NC_008388_00006|MOBQ	NODE_156316_length_1240_cov_0.145486	427	1240	59	427	116	1234	373	54	84.45	86.0	86.0	minus	0.0	565	relaxase
NC_016000_00002|MOBQ	NODE_42_length_68158_cov_0.635346	361	68158	1	343	29480	30514	345	28	91.304	95.0	95.0	plus	4.739999999999997e-177	542	relaxase
NC_020542_00048|MOBQ	NODE_42_length_68158_cov_0.635346	1071	68158	1	1066	43861	47058	1070	81	91.682	99.0	99.0	minus	0.0	1725	relaxase
CP025814_00006|MOBQ	NODE_4861_length_6385_cov_0.423003	426	6385	1	370	5303	6385	373	45	83.914	87.0	99.0	plus	5.549999999999996e-178	543	relaxase
NC_008036_00003|MOBQ	NODE_500_length_19102_cov_0.388149	961	19102	1	961	11765	14647	961	84	91.259	100.0	100.0	plus	0.0	1718	relaxase
AP018520_00059|MOBF	NODE_5542_length_6017_cov_0.126225	1014	6017	1	1014	2400	5441	1014	0	100.0	100.0	100.0	minus	0.0	1909	relaxase
CP029764_00015|MOBP	NODE_558_length_17857_cov_0.341311	772	17857	1	768	1244	3547	768	0	100.0	99.0	99.0	minus	0.0	1237	relaxase
NC_007961_00025|MPF_T	NODE_122_length_39516_cov_0.208083	817	39516	1	817	21128	23572	818	153	80.807	100.0	100.0	plus	0.0	1361	mate-pair-formation
NC_009507_00297|MPF_F	NODE_12521_length_4207_cov_0.101266	487	4207	14	487	1652	3073	474	69	85.443	97.0	97.0	minus	0.0	830	mate-pair-formation
NC_020562_00047|MPF_T	NODE_1956_length_9468_cov_0.178888	863	9468	1	863	1682	4270	863	123	85.74700000000001	100.0	100.0	plus	0.0	1506	mate-pair-formation
NC_009507_00291|MPF_F	NODE_1956_length_9468_cov_0.178888	340	9468	29	340	6782	7717	312	21	93.269	92.0	92.0	plus	0.0	627	mate-pair-formation
NC_014621_00013|MPF_T	NODE_2062_length_9245_cov_0.164115	662	9245	1	579	7508	9244	579	81	86.01	87.0	87.0	plus	0.0	967	mate-pair-formation
NC_017958_00033|MPF_G	NODE_210_length_30907_cov_1.485264	464	30907	1	464	7239	8633	465	84	81.72	100.0	100.0	minus	0.0	696	mate-pair-formation
NC_017958_00034|MPF_G	NODE_210_length_30907_cov_1.485264	316	30907	25	315	8650	9522	291	45	84.536	92.0	92.0	minus	4.309999999999997e-177	540	mate-pair-formation
NC_017958_00038|MPF_T	NODE_210_length_30907_cov_1.485264	963	30907	1	962	11638	14505	963	163	82.243	99.0	99.0	minus	0.0	1566	mate-pair-formation
NC_017958_00039|MPF_G	NODE_210_length_30907_cov_1.485264	149	30907	27	149	14508	14870	123	21	81.301	83.0	83.0	minus	3e-59	194	mate-pair-formation
NC_017958_00042|MPF_G	NODE_210_length_30907_cov_1.485264	230	30907	1	223	17224	17892	223	40	82.06299999999997	97.0	97.0	minus	9.999999999999997e-120	371	mate-pair-formation
NC_017958_00056|MPF_F	NODE_210_length_30907_cov_1.485264	730	30907	1	692	21679	23754	692	61	91.185	95.0	95.0	minus	0.0	1221	mate-pair-formation
NC_022050_00040|MPF_T	NODE_213000_length_1057_cov_0.077244	221	1057	1	221	54	716	221	42	80.995	100.0	100.0	minus	1.979999999999999e-109	315	mate-pair-formation
NC_019394_00072|MPF_I	NODE_2358_length_8719_cov_0.258353	283	8719	1	283	3228	4076	283	7	97.527	100.0	100.0	plus	0.0	563	mate-pair-formation
NC_009507_00291|MPF_F	NODE_29902_length_2828_cov_0.116160	340	2828	21	340	152	1111	320	19	94.062	94.0	94.0	plus	0.0	635	mate-pair-formation
NC_020562_00040|MPF_F	NODE_29902_length_2828_cov_0.116160	248	2828	23	245	1193	1861	223	39	82.51100000000002	90.0	90.0	plus	1.479999999999999e-128	383	mate-pair-formation
