qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_021817|MOB_unknown	NODE_659_length_23419_cov_0.502401	280	23419	1	280	1837	2116	280	5	98.214	100.0	100.0	plus	2.3899999999999984e-139	490	oriT
001440__CP020446|rep_cluster_2002	NODE_12695_length_4865_cov_0.099035	306	4865	8	270	4233	4492	268	38	80.97	86.0	86.0	minus	4.96e-52	200	replicon
002084__CP004394_00001|rep_cluster_634	NODE_127844_length_1374_cov_0.074510	1176	1374	76	1148	302	1374	1078	171	83.21	91.0	91.0	minus	0.0	979	replicon
001980__CP014798_00109|rep_cluster_579	NODE_13828_length_4656_cov_0.135835	1194	4656	1	1194	2848	4041	1194	106	91.122	100.0	100.0	plus	0.0	1618	replicon
001440__CP020446|rep_cluster_2002	NODE_1452_length_14782_cov_0.144180	306	14782	1	287	365	648	291	47	80.069	94.0	94.0	plus	1.0699999999999999e-53	206	replicon
002435__CP022516|rep_cluster_952	NODE_1815_length_13043_cov_0.294808	1023	13043	1	1023	7965	8987	1023	17	98.338	100.0	100.0	minus	0.0	1796	replicon
002061__CP022420_00034|rep_cluster_613	NODE_18813_length_3960_cov_0.060347	1182	3960	1	1182	622	1803	1182	38	96.785	100.0	100.0	plus	0.0	1973	replicon
001501__CP012662_00089|rep_cluster_231	NODE_2116_length_12113_cov_0.131097	1407	12113	1	1407	878	2285	1408	13	99.006	100.0	100.0	plus	0.0	2521	replicon
000954__CP012698|rep_cluster_1579	NODE_282_length_38180_cov_0.188283	798	38180	28	768	20114	20854	742	100	86.25299999999999	93.0	93.0	plus	0.0	804	replicon
000427__GU811235_00024|rep_cluster_1149	NODE_397_length_31670_cov_0.384023	960	31670	1	960	6733	7692	962	86	90.644	100.0	100.0	plus	0.0	1275	replicon
001881__CP015090_00065|rep_cluster_508	NODE_4454_length_8269_cov_0.107466	1215	8269	19	1215	5264	6454	1198	166	85.476	99.0	99.0	minus	0.0	1242	replicon
CP041342_00001|rep_cluster_2350	NODE_52287_length_2263_cov_0.417283	552	2263	50	552	1434	1946	513	15	95.127	91.0	91.0	minus	0.0	800	replicon
001717__CP019309|rep_cluster_392	NODE_618_length_24285_cov_0.199744	1296	24285	91	1296	18860	20062	1210	227	80.331	93.0	93.0	minus	0.0	905	replicon
001892__CP022421_00013|rep_cluster_517	NODE_618_length_24285_cov_0.199744	1212	24285	1	1212	21400	22611	1213	228	81.039	100.0	100.0	minus	0.0	965	replicon
CP015441_00197|MOBF	NODE_17082_length_4161_cov_0.278434	1008	4161	92	1008	2	2752	917	26	97.165	91.0	91.0	plus	0.0	1773	relaxase
NC_008388_00006|MOBQ	NODE_1709_length_13515_cov_0.359720	427	13515	1	427	9661	10953	431	61	84.919	100.0	100.0	minus	0.0	650	relaxase
CP031590_00049|MOBP	NODE_17388_length_4122_cov_0.166045	393	4122	69	389	3126	4088	321	40	87.539	82.0	82.0	minus	0.0	563	relaxase
CP028477_00051|MOBP	NODE_17686_length_4089_cov_0.152130	638	4089	1	638	1467	3392	642	25	95.483	100.0	100.0	minus	0.0	1178	relaxase
CP022516_00068|MOBB	NODE_1815_length_13043_cov_0.294808	322	13043	1	322	10428	11393	322	4	98.758	100.0	100.0	plus	0.0	660	relaxase
NC_008036_00003|MOBQ	NODE_2543_length_10935_cov_0.222961	961	10935	1	961	6548	9430	961	84	91.259	100.0	100.0	plus	0.0	1718	relaxase
CP025814_00006|MOBQ	NODE_29088_length_3137_cov_0.071429	426	3137	31	426	53	1240	396	0	100.0	93.0	93.0	plus	0.0	678	relaxase
CP041669_00041|MOBF	NODE_347_length_34207_cov_0.240471	1978	34207	2	1965	23609	29464	1964	239	87.22	99.0	99.0	plus	0.0	3469	relaxase
NC_020542_00048|MOBQ	NODE_397_length_31670_cov_0.384023	1071	31670	1	1066	17415	20612	1070	81	91.682	99.0	99.0	plus	0.0	1725	relaxase
NC_008388_00006|MOBQ	NODE_622_length_24201_cov_0.303917	427	24201	1	427	9924	11183	430	47	86.04700000000003	100.0	100.0	minus	0.0	616	relaxase
NC_023148_00033|MOBP	NODE_7835_length_6240_cov_0.127341	777	6240	1	777	105	2435	777	36	95.367	100.0	100.0	plus	0.0	1483	relaxase
NC_006366_00019|MPF_F	NODE_1248_length_15977_cov_0.175211	468	15977	1	468	3341	4741	470	86	80.638	100.0	100.0	plus	0.0	758	mate-pair-formation
NC_006366_00023|MPF_F	NODE_1248_length_15977_cov_0.175211	201	15977	5	201	7981	8571	197	34	82.741	98.0	98.0	plus	2.239999999999999e-113	352	mate-pair-formation
NC_006366_00024|MPF_F	NODE_1248_length_15977_cov_0.175211	314	15977	1	314	8603	9544	314	19	93.949	100.0	100.0	plus	0.0	593	mate-pair-formation
NC_006366_00029|MPF_F	NODE_1248_length_15977_cov_0.175211	454	15977	1	452	13603	14958	452	47	89.602	99.0	99.0	plus	0.0	837	mate-pair-formation
NC_022050_00040|MPF_T	NODE_129601_length_1364_cov_0.064822	221	1364	1	207	743	1363	207	40	80.676	94.0	94.0	plus	6.689999999999998e-99	292	mate-pair-formation
