qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
000637__CP004038_00178|rep_cluster_1319	NODE_100958_length_1630_cov_0.131940	912	1630	10	912	535	1437	903	70	92.248	99.0	99.0	minus	0.0	1280	replicon
001980__CP014798_00109|rep_cluster_579	NODE_1925_length_13164_cov_0.245618	1194	13164	1	1194	2848	4041	1194	106	91.122	100.0	100.0	plus	0.0	1618	replicon
001717__CP019309|rep_cluster_392	NODE_19334_length_4109_cov_0.105985	1296	4109	91	1296	1663	2865	1210	227	80.331	93.0	93.0	minus	0.0	905	replicon
002400__CP004397_00001|rep_cluster_914	NODE_2040_length_12788_cov_0.154307	1035	12788	1	1028	1118	2145	1028	76	92.607	99.0	99.0	plus	0.0	1478	replicon
000954__CP012698|rep_cluster_1579	NODE_221_length_38220_cov_0.187928	798	38220	28	768	20176	20916	742	100	86.25299999999999	93.0	93.0	plus	0.0	804	replicon
002232__NC_019376_00020|rep_cluster_754	NODE_30202_length_3221_cov_0.125240	1104	3221	1	1104	1603	2706	1104	0	100.0	100.0	100.0	minus	0.0	2039	replicon
001954__CP015042_00026|rep_cluster_558	NODE_30324_length_3213_cov_0.090559	1200	3213	105	1200	1	1096	1096	6	99.453	91.0	91.0	plus	0.0	1991	replicon
000427__GU811235_00024|rep_cluster_1149	NODE_404_length_28031_cov_0.464485	960	28031	1	960	21145	22104	962	86	90.644	100.0	100.0	minus	0.0	1275	replicon
000980__NC_009955_00156|rep_cluster_160	NODE_45029_length_2571_cov_0.120550	1356	2571	1	1356	815	2170	1358	120	90.869	100.0	100.0	minus	0.0	1818	replicon
001440__CP020446|rep_cluster_2002	NODE_4836_length_8368_cov_0.163623	306	8368	8	270	2959	3218	268	38	80.97	86.0	86.0	plus	3.0099999999999994e-52	200	replicon
001501__CP012662_00089|rep_cluster_231	NODE_56_length_69116_cov_0.210789	1407	69116	1	1407	65161	66568	1408	10	99.219	100.0	100.0	plus	0.0	2538	replicon
001892__CP022421_00013|rep_cluster_517	NODE_90055_length_1738_cov_0.112264	1212	1738	1	1212	122	1333	1213	228	81.039	100.0	100.0	minus	0.0	965	replicon
