qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
CP017058_00081|rep_cluster_2238	NODE_123_length_39500_cov_0.153397	843	39500	17	759	12711	13454	748	104	84.89299999999999	88.0	88.0	plus	0.0	747	replicon
000448__CP012705_00001|rep_cluster_1168	NODE_134909_length_1391_cov_0.051858	954	1391	135	954	572	1391	820	122	85.12200000000001	86.0	86.0	minus	0.0	839	replicon
000742__JQ348844_00001|rep_cluster_1403	NODE_155288_length_1290_cov_0.071369	882	1290	1	791	379	1169	791	76	90.392	90.0	90.0	plus	0.0	1040	replicon
002336__CP021189_00011|rep_cluster_855	NODE_167880_length_1237_cov_0.061511	1056	1237	150	1056	1	907	907	21	97.685	86.0	86.0	plus	0.0	1559	replicon
000451__CP017579|rep_cluster_1170	NODE_18560_length_3840_cov_0.071371	953	3840	2	953	1865	2817	954	115	87.631	99.0	99.0	minus	0.0	1105	replicon
CP017058_00081|rep_cluster_2238	NODE_26_length_81341_cov_0.360565	843	81341	15	768	20617	21370	755	83	88.742	89.0	89.0	plus	0.0	922	replicon
002481__EU043115_00004|rep_cluster_996	NODE_4081_length_7831_cov_0.103337	1011	7831	1	998	1515	2512	998	123	87.675	99.0	99.0	minus	0.0	1162	replicon
001440__CP020446|rep_cluster_2002	NODE_49708_length_2350_cov_0.067526	306	2350	1	287	35	318	291	46	80.41199999999998	94.0	94.0	plus	9.7e-56	211	replicon
001001__AB244976_00001|rep_cluster_1617	NODE_5086_length_7071_cov_0.094234	783	7071	1	783	1926	2708	783	42	94.636	100.0	100.0	minus	0.0	1214	replicon
002232__NC_019376_00020|rep_cluster_754	NODE_80155_length_1833_cov_0.258939	1104	1833	1	1104	433	1536	1104	0	100.0	100.0	100.0	plus	0.0	2039	replicon
000637__CP004038_00178|rep_cluster_1319	NODE_98532_length_1644_cov_0.062136	912	1644	173	903	914	1644	731	59	91.929	80.0	80.0	minus	0.0	1024	replicon
