qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
NC_021817|MOB_unknown	NODE_29757_length_1028_cov_0.708288	280	1028	1	280	98	377	280	10	96.429	100.0	100.0	minus	4.9099999999999974e-132	462	oriT
000452__NC_010401_00001|rep_cluster_1171	NODE_1753_length_3579_cov_1.960057	951	3579	1	951	200	1150	951	0	100.0	100.0	100.0	minus	0.0	1757	replicon
001983__CP021432_00100|rep_cluster_579	NODE_3557_length_2620_cov_2.138437	1194	2620	1	1194	558	1751	1194	0	100.0	100.0	100.0	minus	0.0	2206	replicon
002061__CP022420_00034|rep_cluster_613	NODE_369_length_8129_cov_2.134496	1182	8129	88	1182	1	1095	1097	163	84.777	93.0	93.0	plus	0.0	1098	replicon
000520__CP010352_00002|rep_cluster_1223	NODE_3807_length_2533_cov_1.346343	939	2533	1	939	1254	2192	941	119	86.929	100.0	100.0	plus	0.0	1053	replicon
001954__CP015042_00026|rep_cluster_558	NODE_962_length_4733_cov_1.826068	1200	4733	1	1200	3033	4232	1200	10	99.167	100.0	100.0	minus	0.0	2161	replicon
NC_010401_00007|MOBQ	NODE_1753_length_3579_cov_1.960057	550	3579	1	550	1836	3485	550	1	99.818	100.0	100.0	minus	0.0	1033	relaxase
CP025812_00016|MOBP	NODE_2877_length_2882_cov_1.562702	642	2882	1	642	400	2325	642	20	96.885	100.0	100.0	plus	0.0	1098	relaxase
NC_008042_00056|MPF_T	NODE_1589_length_3753_cov_1.877942	359	3753	1	359	677	1753	359	57	84.12299999999998	100.0	100.0	plus	5.719999999999998e-168	496	mate-pair-formation
NC_014005_00036|MPF_T	NODE_5231_length_2209_cov_1.138863	553	2209	1	553	278	1936	553	48	91.32	100.0	100.0	plus	0.0	980	mate-pair-formation
