qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
001983__CP021432_00100|rep_cluster_579	NODE_10_length_38778_cov_3.028207	1194	38778	1	1194	14427	15620	1194	0	100.0	100.0	100.0	minus	0.0	2206	replicon
002399__NC_008388_00019|rep_cluster_914	NODE_16597_length_1371_cov_1.117925	609	1371	1	605	301	905	605	48	92.066	99.0	99.0	plus	0.0	852	replicon
002059__CP015092_00011|rep_cluster_613	NODE_759_length_7035_cov_3.551759	1182	7035	1	1182	4833	6014	1184	167	85.557	100.0	100.0	plus	0.0	1236	replicon
CP025812_00016|MOBP	NODE_104_length_19831_cov_3.243614	642	19831	1	642	12723	14648	642	20	96.885	100.0	100.0	plus	0.0	1098	relaxase
CP021432_00049|MOBP	NODE_25_length_31182_cov_3.499083	653	31182	1	653	1322	3280	653	20	96.937	100.0	100.0	plus	0.0	1298	relaxase
CP042821_00055|MOBP	NODE_40_length_28052_cov_3.100919	747	28052	1	747	25669	27909	747	58	92.236	100.0	100.0	minus	0.0	1332	relaxase
NC_009955_00053|MPF_T	NODE_289_length_12174_cov_2.869814	218	12174	2	218	2415	3065	217	5	97.696	99.0	99.0	plus	5.439999999999997e-128	392	mate-pair-formation
NC_004574_00087|MPF_T	NODE_289_length_12174_cov_2.869814	231	12174	10	231	3197	3862	222	23	89.64	96.0	96.0	plus	2.3199999999999987e-134	412	mate-pair-formation
NC_008042_00056|MPF_T	NODE_289_length_12174_cov_2.869814	359	12174	1	359	6825	7901	359	56	84.40100000000002	100.0	100.0	plus	1.3199999999999995e-162	499	mate-pair-formation
NC_023148_00034|MPF_T	NODE_40_length_28052_cov_3.100919	667	28052	1	627	23780	25657	630	100	83.016	94.0	94.0	minus	0.0	992	mate-pair-formation
NC_004574_00081|MPF_T	NODE_465_length_9337_cov_3.168651	106	9337	15	106	8763	9038	92	3	96.739	87.0	87.0	plus	6.239999999999997e-56	181	mate-pair-formation
NC_008388_00003|MPF_T	NODE_6553_length_2244_cov_1.285315	550	2244	22	549	634	2217	528	30	94.318	96.0	96.0	minus	0.0	1020	mate-pair-formation
